"","date","Vol_epi_m3","Thermo_depth_m"
"1",2012-07-14,0,13.6337729713714
"2",2012-07-28,53524546.1911367,15.7043550290556
"3",2012-08-11,-42136159.3893742,14.0743295207626
"4",2012-08-25,13015515.1884279,14.5778310754406
"5",2012-09-08,-70926751.9611571,11.8340495682392
"6",2013-07-15,0,9.57196253509884
"7",2013-07-29,64628033.5348969,12.0720798865455
"8",2013-08-12,-47891561.8907155,10.2194082466726
"9",2013-08-26,2333393.33717058,10.3096749134877
"10",2013-09-09,-15122197.6527209,9.72467693852751
"11",2014-07-15,0,9.35724530512201
"12",2014-07-29,101241712.831802,13.2737525713426
"13",2014-08-12,16617819.5957944,NA
"14",2014-08-26,-68006073.6402127,10.6429566858411
"15",2014-09-09,33125635.825185,11.9244126171829
"16",2015-07-15,4416757.5727725,10.2667437651453
"17",2015-07-29,66509217.6274622,12.839634195608
"18",2015-08-12,-3879869.52926837,12.6895425310329
"19",2015-08-26,-23445820.2280939,11.7825475512227
"20",2015-09-09,-11722910.1140469,NA
"21",2016-07-14,0,10.3786628944664
"22",2016-07-28,6854791.77960412,10.6438385919365
"23",2016-08-11,14442787.3061943,11.2025537681916
"24",2016-08-25,-23861190.3468339,10.2794903118344
"25",2016-09-08,-11930595.173417,NA
"26",2017-07-15,0,10.8576462558811
"27",2017-07-29,124111120.648982,15.6588501494588
"28",2017-08-12,-59055387.5665647,13.3743090443692
"29",2017-08-26,-42361408.7218517,11.7355698288237
"30",2017-09-09,39427558.4240595,13.2608138684392
"31",2018-07-15,0,8.56930555618348
"32",2018-07-29,48036819.0755215,10.4275964295112
"33",2018-08-12,-30783863.6483178,9.23673129804823
"34",2018-08-26,24880447.8318678,10.1992244443487
"35",2018-09-09,22919632.237515,12.387845189384
