MoYr2,HE_ratio_TotP_avg,Chla_ugL_avg,relbiovol_avg
4/1/2008,0.964539007,18.8,0.127
5/1/2008,2.027027027,1.9,1.532
6/1/2008,2.906666667,1.1,72.822
7/1/2008,1.480263158,5.6,99.54
8/1/2008,11.13,10.8,99.51
9/1/2008,20.38770999,2.85,97.371
10/1/2008,0.93877551,0.3,88.913
4/1/2009,0.43030303,6.2,2.483
5/1/2009,1.182539683,2.3,1.371
6/1/2009,1.586363636,1,5.348
7/1/2009,2.916,10.2,99.028
8/1/2009,6.592857143,19.3,97.419
9/1/2009,9.237798742,6.9,84.1405
10/1/2009,1.103658537,1.9,45.637
4/1/2010,0.67961165,17.9,0.799
5/1/2010,1.035714286,4.2,32.694
6/1/2010,5.220930233,7,65.255
7/1/2010,7.956521739,14.5,85.707
8/1/2010,16.45905172,5.95,60.587
9/1/2010,,,
10/1/2010,9.348484848,7.2,71.592
4/1/2011,1.03030303,25.7,1.306
5/1/2011,1.1875,6.3,3.923
6/1/2011,2.977272727,1.7,97.009
7/1/2011,11.91935484,6.5,99.172
8/1/2011,28,2.1,95.195
9/1/2011,32.175,5.7,83.826
10/1/2011,3.799879324,6.55,39.043
4/1/2012,,,
5/1/2012,1.93442623,1.9,16.434
6/1/2012,5.953488372,3.9,34.409
7/1/2012,23.66666667,1.6,95.353
8/1/2012,28.33333333,2.8,85.739
9/1/2012,43.67857143,4,69.817
10/1/2012,1,2.6,9.381
4/1/2013,1.142857143,13.1,1.177
5/1/2013,1.166666667,9.8,15.526
6/1/2013,7,0.9,17.885
7/1/2013,7.875,11.2,88.955
8/1/2013,12.66666667,11.4,95.815
9/1/2013,18.66666667,7.75,74.916
10/1/2013,1,7.7,1.095
4/1/2014,1,10.2,1.603
5/1/2014,1.285714286,20.5,1.407
6/1/2014,2.0625,6.4,98.579
7/1/2014,6.1,11.8,98.466
8/1/2014,12.83333333,7.4,84.09
9/1/2014,20.25,7.4,92.173
10/1/2014,1.111111111,6.2,15.719
4/1/2015,0.925925926,15.5,9.164
5/1/2015,1.891304348,29.8,10.193
6/1/2015,3.204918033,5.8,99.893
7/1/2015,8.604651163,13.5,97.959
8/1/2015,13.08333333,8,80.774
9/1/2015,,,
10/1/2015,11.54761905,10.7,92.88
4/1/2016,1.274509804,14.9,43.011
5/1/2016,1.489795918,1.1,3.946
6/1/2016,7.717391304,2.9,38.065
7/1/2016,17.59615385,5.1,65.21
8/1/2016,20.26767677,4.15,66.485
9/1/2016,,,
10/1/2016,11.36842105,5.8,52.813
4/1/2017,,,
5/1/2017,1.793103448,0,12.452
6/1/2017,2.654761905,0,99.362
7/1/2017,6.595744681,0,37.279
8/1/2017,11.22222222,0,69.165
9/1/2017,17,0,65.621
10/1/2017,24.72727273,0,75.458
4/1/2018,1.015503876,7.9,7.669
5/1/2018,,,
6/1/2018,3.609090909,0.8,38.263
7/1/2018,6.780487805,9.8,54.1
8/1/2018,17.60526316,7.3,99.085
9/1/2018,16.08,5.9,92.704
10/1/2018,5.538517442,2.25,93.2485
