Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1995,2.12,0.06,2.17,4.14,3.92,1.22,4.36,5.58,1.78,4.29,3.17,0.77,33.58
1996,2.53,0.53,0.82,2.76,2.95,9.69,4.08,1.84,1.07,3.14,1.01,1.27,31.69
1997,1.24,2.52,1.54,2.50,1.94,5.23,6.23,2.33,1.38,1.23,1.25,1.25,28.64
1998,2.24,1.44,5.46,4.10,4.58,7.46,2.50,4.24,2.48,3.20,1.95,0.29,39.94
1999,2.10,0.91,0.47,6.91,3.72,5.57,4.49,3.26,1.55,0.88,1.21,0.86,31.93
2000,0.91,1.95,1.17,3.18,9.63,8.63,3.27,3.94,3.59,0.68,2.00,1.39,40.34
2001,0.99,2.64,0.59,3.07,4.16,5.40,3.09,7.64,5.53,2.62,1.59,1.13,38.45
2002,0.63,2.17,1.70,3.45,2.92,3.70,2.06,3.04,2.74,2.10,1.01,0.67,26.19
2003,0.36,0.50,1.72,2.95,3.67,2.10,4.24,0.87,4.24,1.60,7.49,2.00,31.74
2004,0.62,1.44,3.61,1.76,10.84,3.93,6.05,3.96,1.00,3.20,1.51,1.46,39.38
2005,2.20,1.45,1.56,1.68,3.96,1.65,3.92,1.22,1.95,0.76,3.36,0.99,24.70
2006,1.96,0.81,2.34,5.04,4.61,2.29,4.45,5.43,3.33,2.87,2.24,1.36,36.73
2007,0.84,1.59,3.39,4.68,1.40,4.82,2.69,15.18,2.45,3.35,0.39,3.63,44.41
2008,2.17,3.30,2.47,6.43,2.55,10.93,5.62,1.41,2.23,2.20,1.46,3.29,44.06
2009,0.54,1.91,6.19,4.43,3.68,4.17,1.94,2.49,4.68,3.80,1.32,3.20,38.35
2010,0.88,1.02,0.71,3.65,3.79,8.38,7.98,3.92,2.65,2.30,1.09,1.49,37.86
2011,1.28,1.59,2.96,3.61,2.40,3.55,1.85,3.06,3.31,1.35,3.35,2.23,30.54
2012,1.40,1.03,2.61,2.85,3.19,0.31,4.00,1.58,1.33,4.56,0.90,2.60,26.36
2013,2.87,2.41,2.41,5.83,6.57,10.86,4.00,1.53,3.19,1.89,2.20,1.62,45.38
2014,0.65,1.24,1.26,5.13,3.47,9.55,1.08,5.43,1.84,3.09,1.54,1.03,35.31
2015,0.66,0.54,0.76,4.38,4.18,3.15,5.02,4.10,5.99,2.73,4.75,3.33,39.59
2016,0.98,0.52,3.96,2.11,2.22,5.35,5.23,7.87,8.46,4.96,1.87,2.03,45.56
2017,2.76,1.94,2.83,5.30,2.83,6.73,6.52,3.85,0.55,3.56,0.68,0.73,38.28
2018,1.68,2.50,0.74,2.14,9.78,5.67,3.12,10.40,5.46,5.36,1.69,2.10,50.64
2019,2.56,2.94,0.92,3.22,6.17,5.16,5.77,2.85,6.80,5.85,2.63,1.52,46.39
2020,1.74,0.94,3.47,2.04,5.42,5.07,7.59,2.88,3.41,3.38,1.85,1.13,38.92
2021,1.27,0.86,1.41,1.44,2.20,4.60,1.58,3.23,2.34,1.84,0.36,1.69,22.82
2022,0.48,0.40,4.67,3.50,2.54,4.02,5.42,5.76,4.03,0.85,3.37,2.34,37.38
