"","Sum_Sq_part","Year","PSS"
"1","Seed Stock","2013",62244190610.073
"2","Internal load","2013",6649344292.66308
"3","External load","2013",1133710594.73362
"4","Residual","2013",81330796551.45
"5","Seed Stock","2014",228153217744.455
"6","Internal load","2014",72048580289.3624
"7","External load","2014",2741783571.69631
"8","Residual","2014",41656158001.4927
"9","Seed Stock","2015",111980167307.565
"10","Internal load","2015",10351230940.7871
"11","External load","2015",11206063771.074
"12","Residual","2015",71361045598.1072
"13","Seed Stock","2016",14760552371.4172
"14","Internal load","2016",11199936938.2551
"15","External load","2016",399051206.500153
"16","Residual","2016",94012809772.7647
"17","Seed Stock","2017",29257089801.488
"18","Internal load","2017",48549190792.1466
"19","External load","2017",10662926040.9148
"20","Residual","2017",116969783303.388
"21","Seed Stock","2018",60200512206.2395
"22","Internal load","2018",67919067042.0887
"23","External load","2018",5669870415.34309
"24","Residual","2018",14142116186.7578
