"","Yr","Source","TotP_kgday"
"1","2012","adjacent sediments",167.76
"2","2012","entrainment",-224.330677960779
"3","2013","adjacent sediments",167.76
"4","2013","entrainment",231.474743616986
"5","2014","adjacent sediments",167.76
"6","2014","entrainment",775.286216690299
"7","2015","adjacent sediments",167.76
"8","2015","entrainment",471.369254091316
"9","2016","adjacent sediments",167.76
"10","2016","entrainment",-159.143281291176
"11","2017","adjacent sediments",167.76
"12","2017","entrainment",603.15331051614
"13","2018","adjacent sediments",167.76
"14","2018","entrainment",633.871556497075
